RKB,centralno,duration (h),distance (km),coordinates_centralno,coordinates_podracno,Населено место
7170107900,Градско - ООУ „Даме Груев“ с.Градско,0.4730555556,27.219,"41.5771544,21.9459307","41.6652552,21.8640944",с. Кочилари
7170107900,Градско - ООУ „Даме Груев“ с.Градско,0.1294444444,5.987,"41.5771544,21.9459307","41.5824024,21.8795344",с. Водоврати
7170107900,Градско - ООУ „Даме Груев“ с.Градско,0.1061111111,5.567,"41.5771544,21.9459307","41.600952,21.897859",с. Виничани
,Дебар - ООУ „Братство Единство“,0.2652777778,13.745,"41.5215516,20.5243096","41.4441971,20.5421772",с. Џепиште
7180106114,Дебар - ООУ „Ристе Ристевски“ с.Долно Костоврасти,0.3938888889,15.624,"41.5181484,20.5179228","41.5341431,20.6233712",с.Могорче
7180106114,Дебар - ООУ „Ристе Ристевски“ с.Долно Костоврасти,0.3497222222,11.153,"41.5181484,20.5179228","41.5453498,20.5751263",с.Горно Косоврасти
7190105894,Дебрца - ООУ„Дебрца“ с.Белчишта,0.3205555556,18.723,"41.3042511953993,20.8315158082677","41.1728399,20.7529075",с. Оровник
7190105894,Дебрца - ООУ„Дебрца“ с.Белчишта,0.2672222222,16.181,"41.3042511953993,20.8315158082677","41.1920088,20.7558453",с. Горенци
7190105894,Дебрца - ООУ„Дебрца“ с.Белчишта,0.2383333333,14.202,"41.3042511953993,20.8315158082677","41.2057865,20.7518795",с. Требеништа
7190105894,Дебрца - ООУ„Дебрца“ с.Белчишта,0.2697222222,13.479,"41.3042511953993,20.8315158082677","41.2206273,20.7410352",с. Волино
7190105894,Дебрца - ООУ„Дебрца“ с.Белчишта,0.1975,10.385,"41.3042511953993,20.8315158082677","41.2393369,20.7724598",с. Мешеишта
7190105894,Дебрца - ООУ„Дебрца“ с.Белчишта,0.2061111111,9.645,"41.3042511953993,20.8315158082677","41.3374368,20.8260108",с. Издеглавје
7190105894,Дебрца - ООУ„Дебрца“ с.Белчишта,0.09972222222,4.534,"41.3042511953993,20.8315158082677","41.2874751,20.7901664",с. Ботун
7190105894,Дебрца - ООУ„Дебрца“ с.Белчишта,0.08027777778,2.612,"41.3042511953993,20.8315158082677","41.2822226,20.8293723",с. Злести
7190105894,Дебрца - ООУ„Дебрца“ с.Белчишта,0.08111111111,4.087,"41.3042511953993,20.8315158082677","41.2776944,20.859424",с. Лешани
7190105894,Дебрца - ООУ„Дебрца“ с.Белчишта,0.1741666667,8.608,"41.3042511953993,20.8315158082677","41.2968438,20.900933",с. Велмеј
7200105436,Делчево - OОУ „Ванчо Прке“,0.09055555556,3.369,"41.9678191,22.7739623","41.9664944,22.8036261",с. Ѕвегор
7200105436,Делчево - OОУ „Ванчо Прке“,0.1663888889,3.46,"41.9678191,22.7739623","41.9865631,22.7917437",с. Габрово
7200111150,Делчево - ООУ „Св.Климент Охридски“,0.3947222222,19.041,"41.9663499,22.778137","41.8442852,22.764262",с. Разловци
7200111150,Делчево - ООУ „Св.Климент Охридски“,0.1730555556,10.301,"41.9663499,22.778137","41.9099038,22.8484457",с. Вирче
7200111150,Делчево - ООУ „Св.Климент Охридски“,0.1172222222,5.531,"41.9663499,22.778137","41.9513329,22.8199435",с. Стамер
7200111150,Делчево - ООУ „Св.Климент Охридски“,0.1630555556,8.638,"41.9663499,22.778137","41.9383282,22.8330011",с. Град
7200111150,Делчево - ООУ „Св.Климент Охридски“,0.1536111111,9.953,"41.9663499,22.778137","41.8918633,22.8159963",с. Тработивиште
7210108206,Демир Капија - ООУ„Димче А.Габерот“,0.3311111111,9.181,"41.4066009,22.2445893","41.4247122,22.2783777",с. Челевец
7210108206,Демир Капија - ООУ„Димче А.Габерот“,0.1244444444,4.556,"41.4066009,22.2445893","41.4346792,22.2378026",с. Корешница
7210108206,Демир Капија - ООУ„Димче А.Габерот“,0.2616666667,13.264,"41.4066009,22.2445893","41.4199484,22.1657943",с. Прждево
7210108206,Демир Капија - ООУ„Димче А.Габерот“,0.4105555556,21.573,"41.4066009,22.2445893","41.4474649,22.2016684",с. Бистренци
7220104774,Демир Хисар - ОOУ „Гоце Делчев“,0.1016666667,3.812,"41.2180167,21.2032056","41.2339068,21.1768649",с. Слепче
7220104774,Демир Хисар - ОOУ „Гоце Делчев“,0.17,9.07,"41.2180167,21.2032056","41.2826688,21.2342338",с. Журче
7220104774,Демир Хисар - ОOУ „Гоце Делчев“,0.2094444444,8.693,"41.2180167,21.2032056","41.2601283,21.2492494",с. Единаковци
7220104774,Демир Хисар - ОOУ „Гоце Делчев“,0.2413888889,10.721,"41.2180167,21.2032056","41.266529,21.2708556",с. Света
7220104774,Демир Хисар - ОOУ „Гоце Делчев“,0.1155555556,4.625,"41.2180167,21.2032056","41.2360659,21.2414999",с. Вардино
7220104774,Демир Хисар - ОOУ „Гоце Делчев“,0.08472222222,2.645,"41.2180167,21.2032056","41.2101343,21.2218551",с. Суво Дол
7220104790,Демир Хисар - ОOУ „Даме Груев“ с Смилево,0.03027777778,1.382,"41.1849634,21.1553308","41.1595633,21.1600062",с. Обедник
7220104782,Демир Хисар - ООУ „Браќа Миладиновци“ с.Жван,0.07027777778,4.162,"41.2949621,21.1175466","41.3149153,21.0970762",с. Доленци
7220104782,Демир Хисар - ООУ „Браќа Миладиновци“ с.Жван,0.1025,5.074,"41.2949621,21.1175466","41.2668889,21.0769781",с. Слоештица
7220104782,Демир Хисар - ООУ „Браќа Миладиновци“ с.Жван,0.07583333333,3.829,"41.2949621,21.1175466","41.2964715,21.1542156",с. Сопотница
7230108133,Дојран - ООУ „Кочо Рацин“ Нов Дојран,0.1286111111,5.525,"41.223956,22.7028053","41.2552992,22.6655093",с. Ѓопчели
7230108133,Дојран - ООУ „Кочо Рацин“ Нов Дојран,0.1311111111,5.849,"41.223956,22.7028053","41.1803849,22.7234094",нас. Стар Дојран
7230108133,Дојран - ООУ „Кочо Рацин“ Нов Дојран,0.1286111111,5.525,"41.223956,22.7028053","41.2552992,22.6655093",с. Ѓопчели
7230108133,Дојран - ООУ „Кочо Рацин“ Нов Дојран,0.1166666667,5.363,"41.2239559,22.7006166","41.2361996,22.6521021",с. Црничани
7230108133,Дојран - ООУ „Кочо Рацин“ Нов Дојран,0.2125,11.999,"41.223956,22.7028053","41.2426517,22.6133874",с. Фурка
7230108133,Дојран - ООУ „Кочо Рацин“ Нов Дојран,0.1363888889,7.213,"41.223956,22.7028053","41.262362,22.7446583",с. Николич
7240106483,Долнени - OОУ „Мирче Ацев“ с.Лажани,0.1477777778,4.668,"41.4454052165774,21.317267320312","41.4667235,21.2902955",с. Кошино
7240106378,Долнени - ОOУ „Ѓорче Петров“ с.Ропотово,0.05472222222,3.702,"41.4489740846926,21.3710695133804","41.4361502,21.4073963",с. Сарандиново
7240106378,Долнени - ОOУ „Ѓорче Петров“ с.Ропотово,0.07527777778,3.029,"41.4489740846926,21.3710695133804","41.4626027,21.3961185",с. Пешталево
7240106378,Долнени - ОOУ „Ѓорче Петров“ с.Ропотово,0.1369444444,5.741,"41.4489740846926,21.3710695133804","41.4784426,21.4135789",с. Секирци
7240106467,Долнени - ООУ „Исмаил Ќемали“,0.01722222222,0.71,"41.5613326409713,21.4300502761732","41.5535421,21.4317642",с. Гостиражани
7240106467,Долнени - ООУ „Исмаил Ќемали“,0.1908333333,7.301,"41.5613326409713,21.4300502761732","41.5006455,21.4079925",с. Костинци
7240106319,Долнени - ООУ „Лирија“,0.2608333333,9.639,"41.4714635,21.291592","41.3997494,21.303593",с. Локвени
7240106513,Долнени - ООУ „Пере Тошев“ с.Дупјачани,0.07527777778,3.388,"41.4409194,21.5207855","41.449356,21.5584072",с. Небрегово
7240106513,Долнени - ООУ „Пере Тошев“ с.Дупјачани,0.1858333333,3.804,"41.4409194,21.5207855","41.4626707,21.4885553",с. Десово
7240106513,Долнени - ООУ „Пере Тошев“ с.Дупјачани,0.1347222222,3.64,"41.4409194,21.5207855","41.4687663,21.5394418",с. Дреновци
7240106416,Долнени - ООУ „Пецо Даскалот“ с.Долнени,0.5355555556,26.973,"41.3878918656836,21.4131277189174","41.475238,21.4606318",с. Браилово
7240106416,Долнени - ООУ „Пецо Даскалот“ с.Долнени,0.2613888889,11.183,"41.3878918656836,21.4131277189174","41.3933311,21.3718806",с. Вранче
7240106416,Долнени - ООУ „Пецо Даскалот“ с.Долнени,0.01527777778,0.595,"41.3878918656836,21.4131277189174","41.379891,21.4131669",с. Заполжани
7240106416,Долнени - ООУ „Пецо Даскалот“ с.Долнени,0.1619444444,8.125,"41.3878918656836,21.4131277189174","41.4113154,21.3980168",с. Бело Поле
7240106416,Долнени - ООУ „Пецо Даскалот“ с.Долнени,0.2108333333,9.42,"41.3878918656836,21.4131277189174","41.413583,21.4700249",с. Сенокос
7260107323,Желино - ООУ „Луиѓ Гуракуќи“ с.Желино,0.2544444444,8.21,"41.9807452,21.0623695","41.9279047,21.0615956",с. Горна Лешница
7260107323,Желино - ООУ „Луиѓ Гуракуќи“ с.Желино,0.2341666667,7.322,"41.9807452,21.0623695","41.9568926,21.0599971",с. Долна Лешница
7260107455,Желино - ООУ „Пашко Васа“ с.Групчин,0.08277777778,1.888,"41.965893,21.1285467","41.9592032,21.1386391",с. Копачин Дол
7260107455,Желино - ООУ „Пашко Васа“ с.Групчин,0.7483333333,53.324,"41.965893,21.1285467","41.722222,20.8452097",с. Церово
7260107455,Желино - ООУ „Пашко Васа“ с.Групчин,0.1472222222,5.123,"41.965893,21.1285467","41.9538839,21.0874263",с. Добарце
7260107749,Желино - ООУ „Фан Ноли“ с.Требош,0.06555555556,2.468,"42.0136027,21.0313447","42.0049534,21.0491548",с. Палатица
7260107749,Желино - ООУ „Фан Ноли“ с.Требош,0.1505555556,5.013,"42.0136027,21.0313447","42.0142488,21.0694596",с. Озормиште
7260107722,Желино - ООУ „Хасан Тахсини“ с.Рогле,0.5319444444,17.717,"41.9680642,21.1650506","41.8831328,21.12672",с. Салареве
7260107722,Желино - ООУ „Хасан Тахсини“ с.Рогле,0.3113888889,9.111,"41.9680642,21.1650506","41.9371431,21.1748353",с. Мерово
7260107722,Желино - ООУ „Хасан Тахсини“ с.Рогле,0.09138888889,2.04,"41.9680642,21.1650506","41.9646497,21.1540719",с. Ново село
7260162553,Желино - ООУ„Раметула Амети“,0.2327777778,13.659,"41.9800967866125,21.0608914617471","41.9333633,21.1220706",с. Ларце
7280103522,Зелениково - ООУ„Марко Цепенков“,0.06722222222,2.254,"41.873144,21.600489","41.8599249,21.6065132",с. Страхојадица
7280103522,Зелениково - ООУ„Марко Цепенков“,1.11,16.445,"41.873144,21.600489","41.8206297,21.5396784",с. Тисовица
7280103522,Зелениково - ООУ„Марко Цепенков“,,,"41.873144,21.600489","41.7916198,21.5667939",с. Дејковец
7280103522,Зелениково - ООУ„Марко Цепенков“,0.2341666667,6.632,"41.873144,21.600489","41.8442095,21.6244727",с. Смесница
7280103522,Зелениково - ООУ„Марко Цепенков“,0.08,4.267,"41.873144,21.600489","41.8985171,21.6031633",с. Орешани
7280103522,Зелениково - ООУ„Марко Цепенков“,0.1275,5.455,"41.873144,21.600489","41.882815,21.5579959",с. Вражале
7290105207,Зрновци - ООУ „Синиша Стоилов“,0.07527777778,2.522,"41.85357,22.4436911","41.8487358,22.4160628",с. Мородвис
7300103999,Илинден - ООУ „Браќа Миладиновци“ с.Миладиновци,0.1175,4.635,"41.982447,21.6498815","42.0179617,21.6520085",с. Мршевци
7300103999,Илинден - ООУ „Браќа Миладиновци“ с.Миладиновци,0.07888888889,3.427,"41.982447,21.6498815","42.0077284,21.6653054",с. Текија
7300104367,Илинден - ООУ „Ристо Крле“ с.Кадино,0.3461111111,16.512,"41.9833019,21.5052368","41.9551476,21.5995715",с. Мралино
7300104367,Илинден - ООУ „Ристо Крле“ с.Кадино,0.3708333333,16.666,"41.9833019,21.5052368","41.9924816,21.6171647",с. Бунарџик
7310107412,Јегуновце - ОOУ „Алескандар Здравковски“ с.Јегуновце,0.1133333333,3.3,"42.0731863,21.1230308","42.0603015,21.1387413",с. Раотинце
7310107412,Јегуновце - ОOУ „Алескандар Здравковски“ с.Јегуновце,0.09305555556,2.563,"42.0731863,21.1230308","42.055183,21.1159219",с. Јанчиште
7310107420,Јегуновце - ОOУ „Шемшево“ с.Шемшево,0.04638888889,2.153,"42.0258085566371,21.0777526790339","42.032775,21.0563867",с. Жилче
7310107420,Јегуновце - ОOУ „Шемшево“ с.Шемшево,0.1647222222,6.525,"42.0258085566371,21.0777526790339","42.0376125,21.0186043",с. Ратај
7310107420,Јегуновце - ОOУ „Шемшево“ с.Шемшево,0.0425,1.752,"42.0258085566371,21.0777526790339","42.0146428,21.0879778",с. Сиричино
7310107420,Јегуновце - ОOУ „Шемшево“ с.Шемшево,0.07138888889,2.421,"42.0258085566371,21.0777526790339","42.0330539,21.0982376",с. Прељубиште
7310107420,Јегуновце - ОOУ „Шемшево“ с.Шемшево,0.1280555556,4.376,"42.0258085566371,21.0777526790339","42.0300256,21.1175841",с. Туденче
7310107420,Јегуновце - ОOУ „Шемшево“ с.Шемшево,0.4455555556,25.46,"42.0258085566371,21.0777526790339","42.0064361,21.2372456",с. Копаниче
7310107331,Јегуновце - ООУ „Симче Настовски“ с.Вратница,0.1205555556,2.096,"42.1427629,21.1232767","42.1317198,21.1274601",с. Орашје
7310107331,Јегуновце - ООУ „Симче Настовски“ с.Вратница,0.09944444444,3.33,"42.1427629,21.1232767","42.1317042,21.1362149",с. Орашје
7310107331,Јегуновце - ООУ „Симче Настовски“ с.Вратница,0.1283333333,6.348,"42.1427629,21.1232767","42.1566632,21.1569214",с. Рогачево
7310107331,Јегуновце - ООУ „Симче Настовски“ с.Вратница,0.1008333333,3.94,"42.1427629,21.1232767","42.1509603,21.1346805",с. Старо Село
7310107331,Јегуновце - ООУ „Симче Настовски“ с.Вратница,0.1452777778,7.084,"42.1427629,21.1232767","42.1639149,21.1759955",с. Јажинце
7320108354,Кавадарци - ООУ „Димката  Ангелов Габерот“,0.2191666667,7.636,"41.43199269155104, 22.014199355146243","41.48807726572488, 22.025294915894072",с. Сопот
7320108362,Кавадарци - ООУ „Страшо Пинџур“,0.2716666667,13.447,"41.436008,22.0127035","41.4201092,21.8890185",с. Дреново
7320108362,Кавадарци - ООУ „Страшо Пинџур“,0.19,8.934,"41.436008,22.0127035","41.4301465,21.9258102",с. Возарци
7320108362,Кавадарци - ООУ „Страшо Пинџур“,0.1177777778,4.043,"41.436008,22.0127035","41.465648,22.0279881",с. Марена
7320108338,Кавадарци - ООУ „Тоде Хаџи Тефов“,0.3247222222,14.055,"41.436008,22.0127035","41.367002,21.997295",с. Бегниште
7330107218,Карбинци - ООУ „Страшо Пинџур“ с.Карбинци,0.5688888889,25.907,"41.7813735,22.2025953","41.7422237,22.3830701",с. Кучица
7330107218,Карбинци - ООУ „Страшо Пинџур“ с.Карбинци,0.1908333333,9.918,"41.7813735,22.2025953","41.7785526,22.2748661",с. Радање
7330107218,Карбинци - ООУ „Страшо Пинџур“ с.Карбинци,0.2077777778,10.462,"41.7813735,22.2025953","41.8424842,22.2504548",с. Крупиште
7330107218,Карбинци - ООУ „Страшо Пинџур“ с.Карбинци,0.2925,15.422,"41.7813735,22.2025953","41.78599857464496, 22.33301538064089",с. Калаузлија
7330107218,Карбинци - ООУ „Страшо Пинџур“ с.Карбинци,0.4525,18.788,"41.7813735,22.2025953","41.7551532005533, 22.328569352643537",с. Оџалија
7330107218,Карбинци - ООУ „Страшо Пинџур“ с.Карбинци,0.4838888889,23.305,"41.7813735,22.2025953","41.7553383,22.3902011",с. Прналија
7330107218,Карбинци - ООУ „Страшо Пинџур“ с.Карбинци,0.08944444444,3.621,"41.7813735,22.2025953","41.7988302,22.2290859",с. Таринци
7330107218,Карбинци - ООУ „Страшо Пинџур“ с.Карбинци,0.1033333333,4.592,"41.7813735,22.2025953","41.8029116,22.2033887",с. Долни Балван
7330107218,Карбинци - ООУ „Страшо Пинџур“ с.Карбинци,0.01416666667,0.354,"41.7813735,22.2025953","41.7817166,22.1960024",с.  Караорман
7790103182,Карпош - ООУ „Братство“ Тафталиџе,0.2011111111,5.182,"42.0015208,21.3884632","41.9793205,21.3713693",с. Горно Нерези
7800103506,Кисела Вода - ООУ „Круме Кепески“,0.08083333333,1.508,"41.968652,21.4466625","41.9600087,21.4395065",нас. Припор
7800103492,Кисела Вода - ООУ „Кузман Јосифовски Питу“,0.04972222222,1.172,"41.9868774,21.4325313","41.9828533,21.4298959",нас. Пржино
7800103573,Кисела Вода - ООУ „Рајко Жинзифов“ Драчево,0.03555555556,0.621,"41.9560513724759,21.483829039825","41.9517784,21.4854063",нас. Пинтија
7340104995,Кичево - ООУ „Ѓерѓ Кастриоти Скендербеу“ с.Србица,0.0925,2.488,"41.5867402,21.0294789","41.5876978,21.0494122",с. Новосело
7340104995,Кичево - ООУ „Ѓерѓ Кастриоти Скендербеу“ с.Србица,0.1052777778,4.137,"41.5867402,21.0294789","41.5873379,21.0095886",с. Жубрине
7340105029,Кичево - ООУ „Милто Ѓура“   с.Стрелци,0.09305555556,2.549,"41.5414795,21.0031438","41.5485303,21.0231548",с. Шутово
7340105029,Кичево - ООУ „Милто Ѓура“   с.Стрелци,0.07305555556,2.364,"41.5414795,21.0031438","41.5557625,20.9858569",с. Цервица
7340105002,Кичево - ООУ „Наим Фрашери“ с.Јагол Доленци,0.01805555556,0.579,"41.6182805,21.0254855","41.6145856,21.0411997",с. Тухин
7340105002,Кичево - ООУ „Наим Фрашери“ с.Јагол Доленци,0.18,6.802,"41.6182805,21.0254855","41.6270628,21.0010254",с. Калеше
7340105002,Кичево - ООУ „Наим Фрашери“ с.Јагол Доленци,0.2611111111,9.803,"41.6182805,21.0254855","41.6483098,21.0271394",с. Папрадиште
7340105002,Кичево - ООУ „Наим Фрашери“ с.Јагол Доленци,0.2913888889,11.086,"41.6182805,21.0254855","41.641143,20.9988538",с. Бериково
7340104960,Кичево - ООУ „Реџо Рушит Зајази“  с.Зајас,0.09583333333,3.135,"41.5997158,20.9411954","41.6063548,20.967023",с. Горно строгомиште
7340104960,Кичево - ООУ „Реџо Рушит Зајази“  с.Зајас,0,0,"41.5997158,20.9411954","41.5997157,20.9411954",с. Зајас
7340104960,Кичево - ООУ „Реџо Рушит Зајази“  с.Зајас,0.1330555556,5.482,"41.5997158,20.9411954","41.6325389,20.9111812",с. Колари
7340104960,Кичево - ООУ „Реџо Рушит Зајази“  с.Зајас,0,0,"41.5997158,20.9411954","41.5997157,20.9411954",нас. Зајас Тече
7340104960,Кичево - ООУ „Реџо Рушит Зајази“  с.Зајас,0,0,"41.5997158,20.9411954","41.5997157,20.9411954",нас. Зајас Џума
7340104952,Кичево - ООУ „Санде Штрејоски“,0.07194444444,2.628,"41.5189684,20.9575126","41.5331664,20.9786901",с. Мамудовци
7340104952,Кичево - ООУ „Санде Штрејоски“,0.07777777778,2.023,"41.5189684,20.9575126","41.5077312,20.9520282",с. Трапчиндол 
,Кичево - ООУ „Фаик Коница“  с.Грешница,0.1175,3.718,"41.5756965945182,20.9258153451261","41.5728618,20.9625636",с. Колибари
,Кичево - ООУ „Фаик Коница“  с.Грешница,0.015,0.315,"41.5756965945182,20.9258153451261","41.5778194,20.9235382",с. Лапкиндол
,Кичево - ООУ „Фаик Коница“  с.Грешница,0.1211111111,4.219,"41.5756965945182,20.9258153451261","41.6043361,20.9068546",с. Бачишта
,Кичево - ООУ „Фаик Коница“  с.Грешница,0.0575,1.65,"41.5756965945182,20.9258153451261","41.5714621,20.9086945",с. Лешница
7340105010,Кичево - ООУ „Христо Узунов“ с.Другово,0.09972222222,3.48,"41.4835655,20.9223086","41.4859449,20.9505091",с. Србјани
7340105010,Кичево - ООУ „Христо Узунов“ с.Другово,0.1358333333,5.892,"41.4835655,20.9223086","41.4449664,20.9109766",с. Брждани
7340105010,Кичево - ООУ „Христо Узунов“ с.Другово,0.085,3.985,"41.4835655,20.9223086","41.4772199,20.8863359",с. Подвис
7350106947,Конче - ООУ „Гоце Делчев“ с.Конче,0.1991666667,8.988,"41.5099395,22.384187","41.5647897,22.3792588",с. Габревци
7350106947,Конче - ООУ „Гоце Делчев“ с.Конче,0.1977777778,9.233,"41.5099395,22.384187","41.570628,22.4252932",с. Дедино
7350106947,Конче - ООУ „Гоце Делчев“ с.Конче,0.1991666667,10.787,"41.5099395,22.384187","41.5041472,22.4567536",с. Долни Липовиќ
7350106947,Конче - ООУ „Гоце Делчев“ с.Конче,0.3058333333,14.288,"41.5099395,22.384187","41.5111914,22.4915286",с. Горни Липовиќ
7350106947,Конче - ООУ „Гоце Делчев“ с.Конче,0.1322222222,6.088,"41.5099395,22.384187","41.5424716,22.4229435",с. Ракитец
7360105193,Кочани - ООУ „Крсте Петков Мисирков“ с.Оризари,0.1275,5.226,"41.9249453,22.4445668","41.8865094,22.4419633",с. Прибачево
7360105177,Кочани - ООУ „Никола Карев“,0.145,6.116,"41.9136371,22.4130964","41.9064607,22.3630785",с. Тркање
7360105177,Кочани - ООУ „Никола Карев“,0.1255555556,4.219,"41.9136371,22.4130964","41.8814293,22.418108",с. Грдовци
7360105185,Кочани - ООУ „Раде Кратовче“ Кочани,0.2963888889,10.309,"41.9136371,22.4130964","41.9544556,22.3387349",с.  Нивичани
7360105398,Кочани - ООУ „Св.Кирил и Методиј“,0.1055555556,3.234,"41.9136371,22.4130964","41.929054,22.3810999",с. Бели
7360105398,Кочани - ООУ „Св.Кирил и Методиј“,0.1311111111,4.997,"41.9136371,22.4130964","41.888892,22.3809766",с. Горни Подлог
7370105770,Кратово - ОOУ „Кочо Рацин“,0.05611111111,2.685,"42.0726252,22.1696893","42.0656677,22.162079",с. Шлегово
7370105770,Кратово - ОOУ „Кочо Рацин“,0.3625,15.258,"42.0726252,22.1696893","42.0450461,22.0553327",с. Секулица
7370105770,Кратово - ОOУ „Кочо Рацин“,0.3738888889,21.232,"42.0726252,22.1696893","42.1517268,22.0314896",с. Страцин
7370105770,Кратово - ОOУ „Кочо Рацин“,1.061944444,51.805,"42.0797128,22.1764693","42.0813274,21.9592668",с. Коњух
7370105770,Кратово - ОOУ „Кочо Рацин“,1.249444444,58.796,"42.0797128,22.1764693","42.0694052,22.0372009",с. Вакуф
7370105770,Кратово - ОOУ „Кочо Рацин“,0.2261111111,12.103,"42.0797128,22.1764693","42.1273918,22.120403",с. Крилатица
7370105770,Кратово - ОOУ „Кочо Рацин“,0.2083333333,8.35,"42.0726252,22.1696893","42.0787792,22.1057261",с. Туралево
7380105835,Крива Паланка - ОOУ „Јоаким Крчовски“,0.2155555556,8.393,"42.2035353,22.3343552","42.2245747,22.4000066",село Жидилово
7380105835,Крива Паланка - ОOУ „Јоаким Крчовски“,0.5561111111,18.041,"42.2035353,22.3343552","42.305491,22.2731527",село Подржикоњ
7380105835,Крива Паланка - ОOУ „Јоаким Крчовски“,0.6377777778,20.003,"42.2035353,22.3343552","42.3268411,22.2847588",село Луке
7380105835,Крива Паланка - ОOУ „Јоаким Крчовски“,0.7819444444,23.648,"42.2035353,22.3343552","42.2945394,22.2245338",село Огут
7380105835,Крива Паланка - ОOУ „Јоаким Крчовски“,0.1897222222,4.653,"42.2035353,22.3343552","42.1780328,22.3628241",село Дурачка Река
7380105835,Крива Паланка - ОOУ „Јоаким Крчовски“,0.7361111111,22.364,"42.2035353,22.3343552","42.2845159,22.2197124",село Нерав
7380105835,Крива Паланка - ОOУ „Јоаким Крчовски“,0.2388888889,8.889,"42.2035353,22.3343552","42.257453,22.3494285",село Дубровница
7380105835,Крива Паланка - ОOУ „Јоаким Крчовски“,0.2738888889,11.123,"42.2035353,22.3343552","42.2204695,22.4283955",Село Узем
